name trial difficulty fixations accuracy phase hit group
control5 37 649 16 10 before true control
control5 38 649 3 38 before true control
control5 39 649 5 10 before true control
control5 40 649 6 7 before true control
control5 41 700 1 8 training true control
control5 42 700 5 24 training true control
control5 43 700 2 15 training true control
control5 44 690 19 9 training true control
control5 45 690 14 30 training true control
control5 46 690 6 6 training true control
control5 47 690 3 8 training true control
control5 48 690 7 34 training true control
control5 49 690 5 215 training false control
control5 50 690 3 4 training true control
control5 51 690 5 16 training true control
control5 52 690 6 17 training true control
control5 53 679 2 12 training true control
control5 54 679 3 21 training true control
control5 55 679 7 24 training true control
control5 56 679 7 39 training true control
control5 57 679 2 12 training true control
control5 58 679 3 41 training true control
control5 59 679 1 13 training true control
control5 60 669 1 15 training true control
control5 61 669 1 15 training true control
control5 62 669 1 9 training true control
control5 63 659 1 22 training true control
control5 64 659 2 46 training true control
control5 65 659 6 8 training true control
control5 66 649 2 3 training true control
control5 67 649 3 10 training true control
control5 68 649 9 24 training true control
control5 69 649 9 6 training true control
control5 70 649 1 9 training true control
control5 71 649 3 60 training true control
control5 72 649 1 8 training true control
control5 73 639 2 11 training true control
control5 74 639 6 5 training true control
control5 75 639 3 5 training true control
control5 76 629 7 24 training true control
control5 77 629 1 12 training true control
control5 78 629 27 13 training true control
control5 79 629 5 4 training true control
control5 80 629 1 5 training true control
control5 81 629 6 12 training true control
control5 82 619 2 30 training true control
control5 83 619 2 48 training true control
control5 84 619 4 12 training true control
control5 85 609 3 20 training true control
control5 86 609 8 34 training true control
control5 87 609 5 1 training true control
control5 88 609 1 23 training true control
control5 89 609 2 4 training true control
control5 90 599 2 4 training true control
control5 91 599 15 32 training true control
control5 92 599 5 9 training true control
control5 93 599 3 17 training true control
control5 94 599 7 11 training true control
control5 95 599 7 24 training true control
control5 96 599 8 5 training true control
control5 97 609 5 3 training true control
control5 98 609 2 29 training true control
control5 99 609 2 16 training true control
control5 100 599 11 12 training true control
control5 101 599 1 426 training false control
control5 102 599 5 16 training true control
control5 103 599 6 11 training true control
control5 104 599 1 36 training true control
control5 105 589 2 12 training true control
control5 106 589 1 14 training true control
control5 107 589 8 8 training true control
control5 108 589 6 15 training true control
control5 109 589 1 17 training true control
control5 110 589 3 11 training true control
control5 111 579 4 15 training true control
control5 112 579 6 328 training false control
control5 113 579 7 4 training true control
control5 114 579 16 5 training true control
control5 115 589 4 10 training true control
control5 116 589 1 8 training true control
control5 117 589 1 317 training false control
control5 118 589 3 8 training true control
control5 119 589 31 17 training true control
control5 120 589 10 8 training true control
control5 121 589 5 11 training true control
control5 122 589 2 8 training true control
